sn,resp_id,site,area_cropped,hh_size,hh_lab,agri_inc,off_farm_inc,tot_hh_inc
1,AMP001,Ampahitra,10404,3,1,1172875,360000,1532875
2,AMP008,Ampahitra,14628,10,4,196500,140000,336500
3,AMP014,Ampahitra,29599,7,3,484625,210000,694625
4,AMP016,Ampahitra,42205,3,2,1380250,260000,1640250
5,AMP031,Ampahitra,30784,4,2,639750,1272000,1911750
6,AMP032,Ampahitra,1889,4,2,256500,354000,610500
7,AMP037,Ampahitra,7060,5,3,105000,290000,395000
8,AMP039,Ampahitra,39414,8,4,822500,96000,918500
9,AMP041,Ampahitra,15097,7,4,1373500,192000,1565500
10,AMP061,Ampahitra,18035,6,5,1003750,78000,1081750
11,AMP073,Ampahitra,28827,2,2,681000,0,681000
12,AMP091,Ampahitra,28670,9,3,674700,0,674700
13,AMP102,Ampahitra,10254,8,4,770500,25000,795500
14,AMP108,Ampahitra,6528,6,2,165000,276000,441000
15,AMP115,Ampahitra,2052,3,2,143850,357000,500850
16,AMP122,Ampahitra,13770,11,8,334500,592000,926500
17,AMP127,Ampahitra,20193,3,2,866000,36000,902000
18,AMP131,Ampahitra,6624,6,2,214000,170000,384000
19,AMP139,Ampahitra,11067,5,2,354300,144000,498300
20,AMP145,Ampahitra,28111,7,2,740250,0,740250
21,AMP173,Ampahitra,17316,6,3,187500,180000,367500
22,AMP176,Ampahitra,5799,5,2,241000,240000,481000
23,AMP192,Ampahitra,6291,8,2,117300,116000,233300
24,AMP196,Ampahitra,15078,10,4,466500,96000,562500
25,AMP201,Ampahitra,66060,9,4,1773000,300000,2073000
26,ANT001,Zahamena,6958,6,3,148525,6000,154525
27,ANT003,Zahamena,14799,5,3,341000,4000,345000
28,ANT013,Zahamena,17317,3,3,379125,9000,388125
29,ANT015,Zahamena,10555,4,4,1401000,0,1401000
30,ANT017,Zahamena,41469,7,2,878100,0,878100
31,ANT021,Zahamena,12608,4,2,125000,8000,133000
32,ANT026,Zahamena,2242,8,3,242750,0,242750
33,ANT034,Zahamena,6747,7,3,333875,70000,403875
34,ANT037,Zahamena,16142,7,4,649250,12000,661250
35,ANT047,Zahamena,15444,10,8,1051000,0,1051000
36,ANT048,Zahamena,9050,8,2,255275,293000,548275
37,ANT050,Zahamena,7253,4,2,148250,101000,249250
38,ANT051,Zahamena,11290,5,2,1107000,0,1107000
39,ANT052,Zahamena,9902,7,3,333500,6000,339500
40,ANT062,Zahamena,14007,3,2,336500,20000,356500
41,AMB005,Zahamena,13236,8,5,873750,120000,993750
42,AMB007,Zahamena,24834,4,2,980000,27000,1007000
43,AMB010,Zahamena,15529,6,3,1765000,1800000,3565000
44,AMB018,Zahamena,17084,7,5,901000,594000,1495000
45,AMB020,Zahamena,9104,3,2,260000,3000,263000
46,AMB021,Zahamena,22908,8,3,929000,69000,998000
47,AMB028,Zahamena,12548,7,4,233750,235000,468750
48,AMB036,Zahamena,15841,7,1,374500,156000,530500
49,AMB039,Zahamena,8397,7,4,188500,24500,213000
50,AMB042,Zahamena,23733,7,4,799750,68000,867750
51,AMB046,Zahamena,20059,7,3,818500,64000,882500
52,AMB049,Zahamena,17531,3,3,940000,150000,1090000
53,AMB055,Zahamena,4763,5,3,136500,3096000,3232500
54,AMB057,Zahamena,21948,6,2,650125,102000,752125
55,AMB059,Zahamena,15969,4,2,459250,244000,703250
56,AMB060,Zahamena,22432,8,3,528000,250000,778000
57,AMB061,Zahamena,7290,4,4,212250,306000,518250
58,AMB064,Zahamena,15510,3,2,564750,130000,694750
59,AMB067,Zahamena,21052,6,2,478800,52000,530800
60,AMB079,Zahamena,17932,5,2,1652000,0,1652000
61,AMB083,Zahamena,11101,6,2,253000,97000,350000
62,AMB085,Zahamena,12937,5,2,806950,225000,1031950
63,SAH002,Sahavazina,15943,8,3,499000,8400,507400
64,SAH005,Sahavazina,1828,2,2,176000,352000,528000
65,SAH006,Sahavazina,7417,2,2,125250,94000,219250
66,SAH008,Sahavazina,7384,6,3,249550,423000,672550
67,SAH009,Sahavazina,8852,4,2,1091525,0,1091525
68,SAH013,Sahavazina,4873,3,2,192725,0,192725
69,SAH014,Sahavazina,11592,5,2,980375,0,980375
70,SAH021,Sahavazina,38817,6,2,400300,0,400300
71,SAH023,Sahavazina,14464,4,2,739500,298000,1037500
72,SAH024,Sahavazina,14566,4,2,1218750,192000,1410750
73,SAH027,Sahavazina,7549,2,1,122000,0,122000
74,SAH029,Sahavazina,18127,2,2,920900,200000,1120900
75,SAH033,Sahavazina,2719,2,2,89250,384000,473250
76,SAH035,Sahavazina,9565,4,2,802750,48000,850750
77,SAH039,Sahavazina,17262,6,2,1282250,0,1282250
78,SAH040,Sahavazina,21707,5,5,772000,0,772000
79,SAH041,Sahavazina,25488,3,3,4715750,240000,4955750
80,SAH044,Sahavazina,6377,10,4,154000,48000,202000
81,SAH045,Sahavazina,4899,8,3,147150,230000,377150
82,SAH048,Sahavazina,3164,7,2,243450,10000,253450
83,SAH049,Sahavazina,3721,5,2,187000,16000,203000
84,SAH050,Sahavazina,21534,12,6,457000,60000,517000
85,SAH051,Sahavazina,7278,6,2,122250,92000,214250
86,SAH053,Sahavazina,32961,8,6,807750,0,807750
87,SAH054,Sahavazina,9450,4,2,240000,0,240000
88,SAH055,Sahavazina,7769,1,1,48000,208000,256000
89,SAH056,Sahavazina,8542,3,2,125750,360000,485750
90,SAH057,Sahavazina,7077,7,4,230750,444000,674750
91,SAH059,Sahavazina,5611,8,2,322875,56000,378875
92,SAH062,Sahavazina,8829,5,2,81350,97500,178850
93,SAH067,Sahavazina,16143,7,5,1034000,300000,1334000
94,SAH068,Sahavazina,10687,5,2,624700,0,624700
95,SAH072,Sahavazina,13780,3,1,876550,120000,996550
96,SAH073,Sahavazina,12184,2,2,372625,48000,420625
97,SAH074,Sahavazina,3202,4,3,147250,192000,339250
98,SAH075,Sahavazina,5694,5,2,423500,0,423500
99,SAH089,Sahavazina,4209,6,1,339500,0,339500
100,SAH090,Sahavazina,2306,4,3,58800,576000,634800
101,SAH092,Sahavazina,13445,7,3,681000,160000,841000
102,SAH094,Sahavazina,18635,10,4,730000,28500,758500
